# lingua/lessico.tsv — il lessico, unica fonte del vocabolario (FASE1_PIANO.md §7)
# Formato: lemma<TAB>categoria<TAB>tratti<TAB>definizione
# tratti: coppie chiave=valore separate da virgola, "-" se vuoti.
# definizione: testo in primitivi NSM, TODO se mancante, "-" per i primitivi stessi.
# L'ORDINE DELLE RIGHE E' PARTE DEL CONTRATTO: le prime 65 righe sono i
# primitivi NSM nell'ordine normativo (FASE1_PIANO.md §7.1); non riordinarle.
#
# --- 65 primitivi NSM (indici 0-64) ---
io	PRIM	pos=PRON	-
tu	PRIM	pos=PRON	-
qualcuno	PRIM	pos=PRON	-
qualcosa	PRIM	pos=PRON	-
gente	PRIM	pos=NOUN	-
corpo	PRIM	pos=NOUN	-
tipo	PRIM	pos=NOUN	-
parte	PRIM	pos=NOUN	-
questo	PRIM	pos=PRON	-
stesso	PRIM	pos=ADJ	-
altro	PRIM	pos=ADJ	-
uno	PRIM	pos=NUM,valore=1	-
due	PRIM	pos=NUM,valore=2	-
alcuni	PRIM	pos=ADJ	-
tutto	PRIM	pos=ADJ	-
molti	PRIM	pos=ADJ	-
pochi	PRIM	pos=ADJ	-
buono	PRIM	pos=ADJ	-
cattivo	PRIM	pos=ADJ	-
grande	PRIM	pos=ADJ	-
piccolo	PRIM	pos=ADJ	-
pensare	PRIM	pos=VERB	-
sapere	PRIM	pos=VERB	-
volere	PRIM	pos=VERB	-
non-volere	PRIM	pos=VERB	-
sentire	PRIM	pos=VERB	-
vedere	PRIM	pos=VERB	-
udire	PRIM	pos=VERB	-
dire	PRIM	pos=VERB,pres3s=dice	-
parola	PRIM	pos=NOUN	-
vero	PRIM	pos=ADJ	-
fare	PRIM	pos=VERB	-
accadere	PRIM	pos=VERB	-
muoversi	PRIM	pos=VERB	-
trovarsi	PRIM	pos=VERB,pres3s=si trova	-
esserci	PRIM	pos=VERB,pres3s=c'è,pres3p=ci sono	-
essere	PRIM	pos=VERB,pres3s=è	-
mio	PRIM	pos=ADJ	-
vivere	PRIM	pos=VERB	-
morire	PRIM	pos=VERB	-
quando	PRIM	pos=ADV	-
adesso	PRIM	pos=ADV	-
prima	PRIM	pos=ADV	-
dopo	PRIM	pos=ADV	-
molto-tempo	PRIM	pos=ADV	-
poco-tempo	PRIM	pos=ADV	-
per-un-po	PRIM	pos=ADV	-
momento	PRIM	pos=NOUN	-
dove	PRIM	pos=ADV	-
qui	PRIM	pos=ADV	-
sopra	PRIM	pos=ADV	-
sotto	PRIM	pos=ADV	-
lontano	PRIM	pos=ADV	-
vicino	PRIM	pos=ADV	-
lato	PRIM	pos=NOUN	-
dentro	PRIM	pos=ADV	-
toccare	PRIM	pos=VERB	-
non	PRIM	pos=ADV	-
forse	PRIM	pos=ADV	-
potere	PRIM	pos=VERB	-
perche	PRIM	pos=ADV,superficie=perché	-
se	PRIM	pos=ADV	-
molto	PRIM	pos=ADV	-
piu	PRIM	pos=ADV,superficie=più	-
come	PRIM	pos=ADV	-
#
# --- Persone (PROPRIO; superficie = lemma capitalizzato) ---
anna	PROPRIO	genere=f	TODO
piero	PROPRIO	genere=m	TODO
maria	PROPRIO	genere=f	TODO
marco	PROPRIO	genere=m	TODO
sara	PROPRIO	genere=f	TODO
luca	PROPRIO	genere=m	TODO
#
# --- Luoghi (NOME) ---
cucina	NOME	genere=f,loc_in=in cucina,loc_da=dalla cucina	qui la gente fa qualcosa; dopo, la gente può mangiare
salotto	NOME	genere=m,loc_in=in salotto,loc_da=dal salotto	TODO
giardino	NOME	genere=m,loc_in=in giardino,loc_da=dal giardino	TODO
camera	NOME	genere=f,loc_in=in camera,loc_da=dalla camera	TODO
orto	NOME	genere=m,loc_in=nell'orto,loc_da=dall'orto	TODO
bosco	NOME	genere=m,loc_in=nel bosco,loc_da=dal bosco	TODO
#
# --- Oggetti unici (NOME) ---
pane	NOME	genere=m,plurale=pani	TODO
palla	NOME	genere=f,plurale=palle	TODO
cestino	NOME	genere=m,plurale=cestini	TODO
scatola	NOME	genere=f,plurale=scatole	TODO
secchio	NOME	genere=m,plurale=secchi	TODO
libro	NOME	genere=m,plurale=libri	TODO
camino	NOME	genere=m,plurale=camini	TODO
#
# --- Risorse (NOME) ---
mela	NOME	genere=f,plurale=mele	qualcosa di piccolo; la gente può mangiare questa cosa; è buono
acqua	NOME	genere=f,plurale=acque,massa=si	TODO
legna	NOME	genere=f,plurale=legne,massa=si	TODO
#
# --- Fonti (NOME) ---
melo	NOME	genere=m	TODO
pozzo	NOME	genere=m	TODO
bosco_legna	NOME	genere=m,superficie=nel bosco	TODO
#
# --- Verbi degli stampi (VERBO) ---
andare	VERBO	pres3s=va	TODO
prendere	VERBO	pres3s=prende	TODO
posare	VERBO	pres3s=posa	TODO
mettere_dentro	VERBO	superficie_pres3s=mette	TODO
tirare_fuori	VERBO	superficie_pres3s=tira fuori	TODO
dare	VERBO	pres3s=dà,part=dato	qualcuno ha qualcosa; questo qualcuno fa qualcosa; dopo, un altro qualcuno ha questa cosa
mangiare	VERBO	pres3s=mangia	qualcuno fa qualcosa con qualcosa; dopo, questa cosa è dentro il corpo di questo qualcuno
aprire	VERBO	pres3s=apre	TODO
chiudere	VERBO	pres3s=chiude	TODO
guardare	VERBO	pres3s=guarda	TODO
dormire	VERBO	pres3s=dorme	qualcuno non fa niente per molto tempo; il corpo di questo qualcuno lo vuole
svegliarsi	VERBO	pres3s=si sveglia	TODO
